Ensembl gene ID,Description_Clarke.et.al._2
ENSOARG00000009361,mucin-5AC-like
ENSOARG00000009364,
ENSOARG00000009365,COMM domain containing 7
ENSOARG00000009373,SELS
ENSOARG00000009375,M-phase phosphoprotein 6
ENSOARG00000009376,LOW QUALITY PROTEIN: upstream transcription factor 1
ENSOARG00000009377,UGT2C1
ENSOARG00000009380,"neuroligin-4, X-linked"
ENSOARG00000009381,putative inactive group IIC secretory phospholipase A2
ENSOARG00000009387,LOW QUALITY PROTEIN: protein CXorf40B homolog
ENSOARG00000009394,
ENSOARG00000009395,"BOLA class I histocompatibility antigen, alpha chain BL3-6"
ENSOARG00000009396,"LOW QUALITY PROTEIN: heat shock transcription factor, X-linked-like"
ENSOARG00000009398,BC035947 protein
ENSOARG00000009402,canopy FGF signaling regulator 2
ENSOARG00000009406,LOW QUALITY PROTEIN: protein CXorf40A
ENSOARG00000009410,putative MAGE domain-containing protein MAGEA13P
ENSOARG00000009419,LOW QUALITY PROTEIN: protein kinase C-binding protein 1
ENSOARG00000009427,
ENSOARG00000009435,NADH:ubiquinone oxidoreductase subunit A9
ENSOARG00000009444,iduronate 2-sulfatase
ENSOARG00000009448,X-ray repair cross complementing 6
ENSOARG00000009449,"phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TPTE2-like"
ENSOARG00000009457,melanoma-associated antigen B16-like
ENSOARG00000009458,aquaporin 7
ENSOARG00000009467,"BUB3, mitotic checkpoint protein"
ENSOARG00000009468,hepatoma-derived growth factor-related protein 2-like
ENSOARG00000009473,apolipoprotein C-II
ENSOARG00000009474,"phospholipase A2, membrane associated-like"
ENSOARG00000009477,hypothetical protein PANDA_000652
ENSOARG00000009479,uncharacterized protein LOC106992133
ENSOARG00000009482,Rho GTPase activating protein 19
ENSOARG00000009483,agouti signalling protein
ENSOARG00000009487,"TSR2, ribosome maturation factor"
ENSOARG00000009488,"phospholipase A2, membrane associated"
ENSOARG00000009490,LOW QUALITY PROTEIN: glucoside xylosyltransferase 2
ENSOARG00000009495,BAP18
ENSOARG00000009497,cytochrome c oxidase subunit NDUFA4
ENSOARG00000009499,
ENSOARG00000009501,M-phase phosphoprotein 6
ENSOARG00000009502,"phospholipase A2, membrane associated-like"
ENSOARG00000009504,prefoldin subunit 2
ENSOARG00000009506,
ENSOARG00000009507,LOW QUALITY PROTEIN: mucin-2
ENSOARG00000009513,cytochrome b561 family member D2
ENSOARG00000009515,protein FAM127
ENSOARG00000009516,reticulon-4 receptor-like 2
ENSOARG00000009518,transcription factor SOX-4
ENSOARG00000009522,LOW QUALITY PROTEIN: multidrug resistance-associated protein 1
ENSOARG00000009526,60S ribosomal protein L23
ENSOARG00000009527,myristoylated alanine rich protein kinase C substrate
ENSOARG00000009533,protein FAM127
ENSOARG00000009537,dual specificity phosphatase 5
ENSOARG00000009539,pituitary adenylate cyclase-activating polypeptide
ENSOARG00000009541,UGT2C1
ENSOARG00000009550,homeobox A13
ENSOARG00000009552,"LOW QUALITY PROTEIN: BOLA class I histocompatibility antigen, alpha chain BL3-7"
ENSOARG00000009555,histone H3.3
ENSOARG00000009559,
ENSOARG00000009560,heat shock factor protein 1
ENSOARG00000009562,adenosylhomocysteinase
ENSOARG00000009564,caspase-7
ENSOARG00000009569,
ENSOARG00000009582,lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)
ENSOARG00000009583,
ENSOARG00000009584,fragile X mental retardation 1 neighbor protein
ENSOARG00000009588,RING1 and YY1 binding protein
ENSOARG00000009593,N-myristoyltransferase 1
ENSOARG00000009597,heparan sulfate 6-O-sulfotransferase 2
ENSOARG00000009605,ubiquitin-fold modifier conjugating enzyme 1
ENSOARG00000009611,myc box-dependent-interacting protein 1-like
ENSOARG00000009612,LOW QUALITY PROTEIN: clusterin-like
ENSOARG00000009619,olfactory receptor 6N1-like
ENSOARG00000009621,
ENSOARG00000009624,nascent polypeptide-associated complex subunit alpha-like
ENSOARG00000009629,
ENSOARG00000009639,GULO
ENSOARG00000009640,C1GALT1 specific chaperone 1
ENSOARG00000009642,LOW QUALITY PROTEIN: dihydrodiol dehydrogenase 3-like
ENSOARG00000009646,uncharacterized protein LOC106992133
ENSOARG00000009648,protoporphyrinogen oxidase
ENSOARG00000009652,
ENSOARG00000009660,60S ribosomal protein L37a isoform 1
ENSOARG00000009666,LOW QUALITY PROTEIN: uncharacterized protein LOC106701424
ENSOARG00000009669,high mobility group nucleosome binding domain 1
ENSOARG00000009674,estradiol 17-beta-dehydrogenase 12-B-like
ENSOARG00000009679,uncharacterized protein C4orf19 homolog
ENSOARG00000009680,homeobox A9
ENSOARG00000009684,
ENSOARG00000009688,arginine-glutamic acid dipeptide repeats
ENSOARG00000009690,DDB1- and CUL4-associated factor 12-like protein 2
ENSOARG00000009692,LOW QUALITY PROTEIN: cytochrome b5 reductase 4
ENSOARG00000009698,golgin subfamily A member 3
ENSOARG00000009703,ribosomal protein S24
ENSOARG00000009707,
ENSOARG00000009708,UGT2C1
ENSOARG00000009712,malonyl-CoA decarboxylase
ENSOARG00000009716,exocyst complex component 3-like protein 2
ENSOARG00000009717,homeobox A5 (predicted)
ENSOARG00000009718,40S ribosomal protein SA-like
ENSOARG00000009720,hypothetical protein PANDA_000164
ENSOARG00000009721,olfactory receptor 2A12-like
ENSOARG00000009724,"BOLA class I histocompatibility antigen, alpha chain BL3-7-like"
ENSOARG00000009725,
ENSOARG00000009727,"BOLA class I histocompatibility antigen, alpha chain BL3-7-like"
ENSOARG00000009741,WD repeat domain 34
ENSOARG00000009751,uncharacterized protein LOC102335531
ENSOARG00000009756,olfactory receptor 2A12-like
ENSOARG00000009759,E3 ubiquitin-protein ligase Itchy homolog
ENSOARG00000009762,
ENSOARG00000009765,ribosomal protein L6
ENSOARG00000009771,ring finger protein 113A
ENSOARG00000009778,hypoxanthine-guanine phosphoribosyltransferase-like
ENSOARG00000009780,zinc finger RANBP2-type containing 2
ENSOARG00000009783,LOW QUALITY PROTEIN: uncharacterized protein LOC102283929
ENSOARG00000009786,BCL2 interacting protein 3 like
ENSOARG00000009789,homeobox A4
ENSOARG00000009790,oxysterol binding protein like 1A
ENSOARG00000009795,"Amiloride-sensitive cation channel 1, neuronal"
ENSOARG00000009799,"neuroblastoma 1, DAN family BMP antagonist"
ENSOARG00000009805,LOW QUALITY PROTEIN: uncharacterized protein LOC105613868
ENSOARG00000009806,protein FAM209A-like
ENSOARG00000009807,
ENSOARG00000009810,uncharacterized protein LOC102185817
ENSOARG00000009816,chymotrypsin-like elastase family member 2A
ENSOARG00000009819,RNA polymerase II elongation factor ELL2-like
ENSOARG00000009820,
ENSOARG00000009821,uncharacterized protein LOC106991392
ENSOARG00000009824,spermatid nuclear transition protein 3-like
ENSOARG00000009847,serum amyloid A protein
ENSOARG00000009848,UPF0600 protein C5orf51-like
ENSOARG00000009849,LOW QUALITY PROTEIN: uncharacterized protein LOC105615685
ENSOARG00000009855,"mCG124345, isoform CRA_a"
ENSOARG00000009858,UDP-glucuronosyltransferase 2A3-like
ENSOARG00000009863,spermatid nuclear transition protein 3-like
ENSOARG00000009865,serum amyloid A protein
ENSOARG00000009868,MHC class I polypeptide-related sequence B-like
ENSOARG00000009871,HECT domain E3 ubiquitin protein ligase 4
ENSOARG00000009873,BCL2 interacting protein 3 like
ENSOARG00000009881,"leucine rich repeat containing 28, isoform CRA_a"
ENSOARG00000009886,ribosome production factor 2 homolog
ENSOARG00000009890,
ENSOARG00000009899,mas-related G-protein coupled receptor member X2-like
ENSOARG00000009900,aflatoxin B1 aldehyde reductase member 2
ENSOARG00000009901,LOW QUALITY PROTEIN: tyrosine-protein kinase SgK223
ENSOARG00000009903,LOW QUALITY PROTEIN: tyrosine-protein kinase SgK223
ENSOARG00000009904,histone H2B-like
ENSOARG00000009909,"phosphate carrier protein, mitochondrial-like"
ENSOARG00000009910,
ENSOARG00000009919,
ENSOARG00000009925,mitochondrial ribosomal protein S17
ENSOARG00000009927,S-adenosylmethionine decarboxylase proenzyme
ENSOARG00000009933,anaphase promoting complex subunit 10
ENSOARG00000009935,transcription elongation factor A protein-like 5
ENSOARG00000009940,centromere protein O
ENSOARG00000009951,uncharacterized protein CXorf66 homolog
ENSOARG00000009953,uncharacterized protein LOC102273028
ENSOARG00000009954,uncharacterized protein LOC102316447
ENSOARG00000009959,endogenous retrovirus group K member 18 Pol protein-like
ENSOARG00000009962,smoothelin-like protein 1
ENSOARG00000009963,serum amyloid A protein
ENSOARG00000009967,
ENSOARG00000009987,TPA: TRD@ protein-like
ENSOARG00000009990,
ENSOARG00000009992,
ENSOARG00000009998,transcription factor SOX-3
ENSOARG00000010001,olfactory receptor 6M1-like
ENSOARG00000010003,LOW QUALITY PROTEIN: probable E3 ubiquitin-protein ligase HECTD4
ENSOARG00000010004,histone H2B type W-T-like
ENSOARG00000010006,"POU domain, class 5, transcription factor 1"
ENSOARG00000010011,chaperonin containing TCP1 subunit 6A
ENSOARG00000010012,sorting nexin-10
ENSOARG00000010015,
ENSOARG00000010018,makorin ring finger protein 1
ENSOARG00000010019,Putative olfactory receptor 10D3
ENSOARG00000010022,histone H2B-like
ENSOARG00000010028,
ENSOARG00000010029,60S ribosomal protein L23
ENSOARG00000010031,fibrous sheath CABYR-binding protein-like
ENSOARG00000010037,uncharacterized protein C14orf142 homolog
ENSOARG00000010040,
ENSOARG00000010046,pulmonary surfactant-associated protein D
ENSOARG00000010049,
ENSOARG00000010051,low affinity immunoglobulin gamma Fc region receptor II-like
ENSOARG00000010054,sorbitol dehydrogenase
ENSOARG00000010055,Down syndrome cell adhesion molecule-like
ENSOARG00000010058,
ENSOARG00000010060,TPA: hypothetical protein BOS_10335
ENSOARG00000010062,UPF0472 protein C16orf72
ENSOARG00000010063,BMP/retinoic acid-inducible neural-specific protein 3
ENSOARG00000010068,menin
ENSOARG00000010070,low affinity immunoglobulin gamma Fc region receptor III-like
ENSOARG00000010073,gametogenetin-binding protein 1-like
ENSOARG00000010076,uncharacterized protein CXorf66 homolog
ENSOARG00000010085,uncharacterized protein LOC105607580
ENSOARG00000010091,RPS13
ENSOARG00000010092,unnamed protein product
ENSOARG00000010096,
ENSOARG00000010102,LOW QUALITY PROTEIN: menin
ENSOARG00000010107,protein FAM169B
ENSOARG00000010111,"armadillo repeat containing, X-linked 6"
ENSOARG00000010113,optic atrophy 3 protein
ENSOARG00000010114,uncharacterized protein CXorf66 homolog
ENSOARG00000010115,conglutinin-like
ENSOARG00000010119,DEAD-box helicase 49
ENSOARG00000010128,
ENSOARG00000010149,nodal modulator 1
ENSOARG00000010151,
ENSOARG00000010154,four jointed box 1
ENSOARG00000010159,brain expressed X-linked 2
ENSOARG00000010165,mannose-binding protein A
ENSOARG00000010167,
ENSOARG00000010173,hypothetical protein M91_03384
ENSOARG00000010175,electron transfer flavoprotein alpha subunit
ENSOARG00000010178,Aldose reductase
ENSOARG00000010192,"dynein light chain 1, cytoplasmic-like"
ENSOARG00000010193,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN"
ENSOARG00000010200,Olfactory receptor 8G2
ENSOARG00000010203,small nuclear ribonucleoprotein Sm D2
ENSOARG00000010207,histone H2B 1/2-like
ENSOARG00000010209,NK1 transcription factor-related protein 2
ENSOARG00000010210,
ENSOARG00000010214,EF-hand calcium-binding domain-containing protein 3-like
ENSOARG00000010219,olfactory receptor 8B8-like
ENSOARG00000010221,
ENSOARG00000010226,hypothetical protein M91_18017
ENSOARG00000010227,LOW QUALITY PROTEIN: zinc transporter 8
ENSOARG00000010238,histone H2B 1/2-like
ENSOARG00000010240,"cytochrome c oxidase subunit 7A2, mitochondrial"
ENSOARG00000010248,olfactory receptor 145-like
ENSOARG00000010250,uncharacterized protein C8orf58 homolog
ENSOARG00000010257,Vitamin K epoxide reductase complex subunit 1-like protein 1
ENSOARG00000010259,olfactory receptor family 8 subfamily G member 1 (gene/pseudogene)
ENSOARG00000010261,
ENSOARG00000010263,endogenous retrovirus group K member 5 Gag polyprotein
ENSOARG00000010264,PDZ and LIM domain 2
ENSOARG00000010273,homeobox protein SIX5
ENSOARG00000010274,developmental pluripotency associated 4
ENSOARG00000010279,MLV-related proviral Env polyprotein-like
ENSOARG00000010292,heterogeneous nuclear ribonucleoproteins C1/C2
ENSOARG00000010297,proteasome subunit beta 6
ENSOARG00000010300,"SPT3 homolog, SAGA and STAGA complex component"
ENSOARG00000010302,endogenous retrovirus group K member 18 Pol protein-like
ENSOARG00000010303,tumor protein p53 inducible nuclear protein 2
ENSOARG00000010304,60S ribosomal protein L17-like
ENSOARG00000010308,
ENSOARG00000010310,T-cell receptor alpha chain V region HPB-MLT
ENSOARG00000010314,
ENSOARG00000010320,adrenoceptor alpha 1B
ENSOARG00000010324,solute carrier family 39 member 14
ENSOARG00000010331,
ENSOARG00000010335,proliferation-associated 2G4
ENSOARG00000010340,LOW QUALITY PROTEIN: pregnancy-associated glycoprotein 1-like
ENSOARG00000010341,
ENSOARG00000010355,LOW QUALITY PROTEIN: dihydrodiol dehydrogenase 3-like
ENSOARG00000010366,
ENSOARG00000010368,regulator of telomere elongation helicase 1
ENSOARG00000010371,WD repeat and SOCS box-containing protein 1
ENSOARG00000010372,DNA-directed RNA polymerase III subunit RPC4
ENSOARG00000010376,tetratricopeptide repeat domain 27
ENSOARG00000010378,
ENSOARG00000010379,neuregulin 3
ENSOARG00000010380,DNA-directed RNA polymerase III subunit RPC9
ENSOARG00000010383,high mobility group box 2
ENSOARG00000010385,lysophosphatidylcholine acyltransferase 2B-like
ENSOARG00000010386,LOW QUALITY PROTEIN: hepatocyte nuclear factor 3-gamma
ENSOARG00000010391,
ENSOARG00000010398,protein NYNRIN-like
ENSOARG00000010402,kinesin family member 11
ENSOARG00000010403,
ENSOARG00000010413,ribosomal protein S25
ENSOARG00000010416,
ENSOARG00000010419,intermediate filament family orphan 2
ENSOARG00000010423,
ENSOARG00000010434,RNA-binding protein Nova-2
ENSOARG00000010439,
ENSOARG00000010440,
ENSOARG00000010446,LEM domain containing 2
ENSOARG00000010449,prostaglandin F synthase 1-like
ENSOARG00000010451,glutathione-disulfide reductase
ENSOARG00000010452,60S ribosomal protein L26
ENSOARG00000010457,protein-lysine N-methyltransferase METTL10
ENSOARG00000010467,60S ribosomal protein L17
ENSOARG00000010472,rho GTPase-activating protein 27
ENSOARG00000010479,spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 2
ENSOARG00000010481,Thymic stromal lymphopoietin
ENSOARG00000010484,
ENSOARG00000010485,CKMT1
ENSOARG00000010488,LOW QUALITY PROTEIN: dihydrodiol dehydrogenase 3-like
ENSOARG00000010490,doublecortin like kinase 1
ENSOARG00000010495,protein NYNRIN-like
ENSOARG00000010499,
ENSOARG00000010500,
ENSOARG00000010501,BBSome interacting protein 1
ENSOARG00000010503,PITH domain containing 1
ENSOARG00000010506,coiled-coil domain-containing protein 162-like
ENSOARG00000010510,melanoma-associated antigen B4-like
ENSOARG00000010517,interferon alpha-H-like
ENSOARG00000010520,
ENSOARG00000010525,
ENSOARG00000010530,LOW QUALITY PROTEIN: transmembrane protein 200C
ENSOARG00000010532,LOW QUALITY PROTEIN: adenosine deaminase domain-containing protein 2
ENSOARG00000010533,melanoma-associated antigen B1-like
ENSOARG00000010535,ceramide synthase 1
ENSOARG00000010537,
ENSOARG00000010542,
ENSOARG00000010552,
ENSOARG00000010554,LOC539014 protein
ENSOARG00000010556,transmembrane protein FLJ37396
ENSOARG00000010557,
ENSOARG00000010559,poly (rC)-binding protein 1-like protein
ENSOARG00000010562,
ENSOARG00000010563,
ENSOARG00000010566,"RGD1564450 (predicted), isoform CRA_b"
ENSOARG00000010567,
ENSOARG00000010571,uncharacterized protein LOC105610432
ENSOARG00000010572,"LOW QUALITY PROTEIN: HLA class I histocompatibility antigen, B-40 alpha chain-like"
ENSOARG00000010577,prostaglandin F synthase 1-like
ENSOARG00000010579,TruB pseudouridine synthase family member 2
ENSOARG00000010581,
ENSOARG00000010582,"Chain R, Structure Of The Mammalian 60s Ribosomal Subunit (this Entry Contains The Large Ribosomal Proteins)"
ENSOARG00000010583,nudix hydrolase 3
ENSOARG00000010586,epididymis-specific alpha-mannosidase-like
ENSOARG00000010588,uncharacterized protein KIAA0195 homolog
ENSOARG00000010590,vesicle associated membrane protein 3
ENSOARG00000010591,transmembrane protein FLJ37396
ENSOARG00000010592,ribosomal protein S10
ENSOARG00000010597,carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein
ENSOARG00000010599,LOW QUALITY PROTEIN: PNMA-like protein 1
ENSOARG00000010604,hepatitis A virus cellular receptor 1-like
ENSOARG00000010608,
ENSOARG00000010611,LOW QUALITY PROTEIN: PNMA-like protein 2
ENSOARG00000010612,olfactory receptor family 1 subfamily F member 1
ENSOARG00000010613,PAG17 protein
ENSOARG00000010620,
ENSOARG00000010621,olfactory receptor family 1 subfamily F member 1
ENSOARG00000010630,RecName: Full=Putative uncharacterized protein C1orf196
ENSOARG00000010631,
ENSOARG00000010637,
ENSOARG00000010640,Calmodulin
ENSOARG00000010641,vasorin
ENSOARG00000010646,LOW QUALITY PROTEIN: embryonic growth/differentiation factor 1
ENSOARG00000010647,
ENSOARG00000010650,"aldehyde dehydrogenase, mitochondrial"
ENSOARG00000010652,uncharacterized protein LOC105607580
ENSOARG00000010655,LOW QUALITY PROTEIN: dapper homolog 3
ENSOARG00000010657,TAR DNA binding protein
ENSOARG00000010658,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN"
ENSOARG00000010661,
ENSOARG00000010669,fibroblast growth factor 13
ENSOARG00000010673,tRNA wybutosine-synthesizing protein 1-like protein
ENSOARG00000010676,DnaJ heat shock protein family (Hsp40) member A1
ENSOARG00000010677,epididymis-specific alpha-mannosidase-like
ENSOARG00000010678,
ENSOARG00000010683,alpha-S2-casein precursor
ENSOARG00000010690,endogenous retrovirus group K member 18 Pol protein-like
ENSOARG00000010692,diffuse panbronchiolitis critical region protein 1
ENSOARG00000010695,leucine-rich repeat-containing protein 37A-like
ENSOARG00000010696,breast cancer anti-estrogen resistance 4
ENSOARG00000010705,MLV-related proviral Env polyprotein-like
ENSOARG00000010707,GTP-binding nuclear protein Ran
ENSOARG00000010716,60S ribosomal protein L35a
ENSOARG00000010725,golgi SNAP receptor complex member 2
ENSOARG00000010727,hepatitis A virus cellular receptor 1
ENSOARG00000010731,putative polypeptide N-acetylgalactosaminyltransferase-like protein 3-like
ENSOARG00000010734,transcription factor CP2-like protein 1-like
ENSOARG00000010737,
ENSOARG00000010738,putative MAGE domain-containing protein MAGEA13P
ENSOARG00000010742,cytosolic carboxypeptidase 4
ENSOARG00000010743,"mCG15678, isoform CRA_c"
ENSOARG00000010745,golgin subfamily A member 2
ENSOARG00000010747,synaptophysin
ENSOARG00000010748,
ENSOARG00000010752,aldehyde dehydrogenase 3 family member A2
ENSOARG00000010753,heparan sulfate glucosamine 3-O-sulfotransferase 4
ENSOARG00000010754,salivary glue protein Sgs-3-like
ENSOARG00000010757,autism susceptibility candidate 2
ENSOARG00000010762,contactin-associated protein-like 3
ENSOARG00000010766,double homeobox protein 4C-like
ENSOARG00000010767,
ENSOARG00000010776,epididymis-specific alpha-mannosidase-like
ENSOARG00000010782,dual specificity mitogen-activated protein kinase kinase 2
ENSOARG00000010783,TPA: hypothetical protein BOS_9010
ENSOARG00000010785,hypothetical protein M91_09792
ENSOARG00000010790,inositol polyphosphate-1-phosphatase
ENSOARG00000010794,testis-expressed sequence 10 protein-like
ENSOARG00000010795,olfactory receptor 7A10-like
ENSOARG00000010797,
ENSOARG00000010798,ribose-phosphate pyrophosphokinase 1
ENSOARG00000010804,LOW QUALITY PROTEIN: testis-expressed sequence 10 protein-like
ENSOARG00000010812,
ENSOARG00000010813,Putative polypeptide N-acetylgalactosaminyltransferase-like protein 3
ENSOARG00000010814,LOW QUALITY PROTEIN: 40S ribosomal protein S4-like
ENSOARG00000010815,
ENSOARG00000010817,olfactory receptor 1020-like
ENSOARG00000010818,"LOW QUALITY PROTEIN: selenide, water dikinase 2-like"
ENSOARG00000010819,ribosomal protein L30
ENSOARG00000010820,TPA: hypothetical protein BOS_9010
ENSOARG00000010822,uncharacterized protein C17orf47
ENSOARG00000010825,autism susceptibility candidate 2
ENSOARG00000010826,
ENSOARG00000010827,CXXC finger protein 4
ENSOARG00000010828,hepatitis A virus cellular receptor 1
ENSOARG00000010830,putative serine protease 47-like
ENSOARG00000010831,40S ribosomal protein S9
ENSOARG00000010833,
ENSOARG00000010835,endogenous retrovirus group K member 5 Gag polyprotein-like
ENSOARG00000010846,LOW QUALITY PROTEIN: putative serine protease 47
ENSOARG00000010850,TM9SF2
ENSOARG00000010853,protein MEMO1
ENSOARG00000010858,VGF nerve growth factor inducible
ENSOARG00000010859,
ENSOARG00000010862,exocyst complex component 4
ENSOARG00000010868,LOW QUALITY PROTEIN: testis-expressed sequence 10 protein
ENSOARG00000010871,
ENSOARG00000010877,olfactory receptor 9I1-like
ENSOARG00000010878,prostaglandin E2 synthase 2
ENSOARG00000010884,
ENSOARG00000010889,Retrovirus-related Pol polyprotein LINE-1
ENSOARG00000010890,
ENSOARG00000010891,endosomal/lysomomal potassium channel TMEM175
ENSOARG00000010893,
ENSOARG00000010900,olfactory receptor 5B3-like
ENSOARG00000010907,
ENSOARG00000010910,LOW QUALITY PROTEIN: neurogenic locus notch homolog protein 1
ENSOARG00000010916,RNA-binding protein 4B-like
ENSOARG00000010918,C-terminal-binding protein 2
ENSOARG00000010924,exosome component 6
ENSOARG00000010936,cytochrome c-like
ENSOARG00000010937,
ENSOARG00000010938,solute carrier family 39 member 14
ENSOARG00000010940,"S-phase kinase-associated protein 2, E3 ubiquitin protein ligase"
ENSOARG00000010942,
ENSOARG00000010944,hemoglobin subunit alpha-1/2
ENSOARG00000010951,
ENSOARG00000010956,DNA polymerase delta subunit 4
ENSOARG00000010961,katanin regulatory subunit B1 like 1
ENSOARG00000010965,C-Maf-inducing protein
ENSOARG00000010966,"amelogenin, X isoform"
ENSOARG00000010968,LOW QUALITY PROTEIN: olfactory receptor 2AT4-like
ENSOARG00000010975,PRAME family member 8-like
ENSOARG00000010976,
ENSOARG00000010977,40S ribosomal protein S27-like
ENSOARG00000010981,
ENSOARG00000010991,
ENSOARG00000010992,olfactory receptor 5B12-like
ENSOARG00000010995,pancreatic progenitor cell differentiation and proliferation factor
ENSOARG00000010996,
ENSOARG00000010999,
ENSOARG00000011001,NEDD4 binding protein 2 like 2
ENSOARG00000011003,
ENSOARG00000011006,TATA-box binding protein associated factor 11
ENSOARG00000011009,"testis expressed 14, intercellular bridge forming factor"
ENSOARG00000011013,mediator complex subunit 4
ENSOARG00000011015,LOW QUALITY PROTEIN: myeloid-associated differentiation marker-like
ENSOARG00000011020,epididymis-specific alpha-mannosidase
ENSOARG00000011023,LOW QUALITY PROTEIN: apolipoprotein L3-like
ENSOARG00000011024,CENPB DNA-binding domain-containing protein 1
ENSOARG00000011025,PRAME
ENSOARG00000011028,OR140
ENSOARG00000011031,LOW QUALITY PROTEIN: pregnancy-associated glycoprotein 1-like
ENSOARG00000011033,hypothetical protein
ENSOARG00000011035,follicular dendritic cell secreted peptide
ENSOARG00000011037,
ENSOARG00000011039,PRAME family member 8-like
ENSOARG00000011040,
ENSOARG00000011042,TMEM198
ENSOARG00000011044,
ENSOARG00000011047,olfactory receptor family 4 subfamily C member 46
ENSOARG00000011050,
ENSOARG00000011053,hyaluronan synthase 2
ENSOARG00000011057,HERV-K_6q14.1 provirus ancestral Gag polyprotein
ENSOARG00000011060,"phospholipid hydroperoxide glutathione peroxidase, mitochondrial precursor"
ENSOARG00000011061,
ENSOARG00000011064,
ENSOARG00000011067,hypothetical protein EGK_06568
ENSOARG00000011070,LOW QUALITY PROTEIN: pregnancy-associated glycoprotein 1-like
ENSOARG00000011077,UDP-glucuronosyltransferase 3A1
ENSOARG00000011078,unnamed protein product
ENSOARG00000011079,charged multivesicular body protein 5
ENSOARG00000011080,Olfactory receptor 5B2
ENSOARG00000011081,signal transducer CD24
ENSOARG00000011087,
ENSOARG00000011088,family with sequence similarity 136 member A
ENSOARG00000011091,LOW QUALITY PROTEIN: myeloid-associated differentiation marker-like
ENSOARG00000011093,
ENSOARG00000011094,glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
ENSOARG00000011096,hypothetical protein M91_14132
ENSOARG00000011097,
ENSOARG00000011099,serine/threonine-protein kinase 38
ENSOARG00000011103,ADP-ribosylation factor 3-like protein
ENSOARG00000011104,Germ cell-less protein-like 1-like protein
ENSOARG00000011105,LOW QUALITY PROTEIN: cryptic protein-like
ENSOARG00000011106,TPA: hypothetical protein BOS_4671
ENSOARG00000011108,UDP-glucuronosyltransferase 3A1-like
ENSOARG00000011118,coronin 2A
ENSOARG00000011119,
ENSOARG00000011120,DnaJ heat shock protein family (Hsp40) member C14
ENSOARG00000011123,small ubiquitin-related modifier 2 precursor
ENSOARG00000011124,
ENSOARG00000011126,LOW QUALITY PROTEIN: PRAME family member 8-like
ENSOARG00000011128,cystathionine-beta-synthase
ENSOARG00000011131,tripartite motif-containing protein 14
ENSOARG00000011137,epididymis-specific alpha-mannosidase-like
ENSOARG00000011141,Putative protein ENSP00000372125
ENSOARG00000011143,regulating synaptic membrane exocytosis protein 2-like
ENSOARG00000011145,60S ribosomal protein L37a-like
ENSOARG00000011153,
ENSOARG00000011154,acidic nuclear phosphoprotein 32 family member B
ENSOARG00000011160,
ENSOARG00000011161,hypothetical protein M91_14599
ENSOARG00000011162,Splicing factor U2AF 35 kDa subunit
ENSOARG00000011164,Ras related GTP binding C
ENSOARG00000011169,
ENSOARG00000011170,corticotropin-releasing factor receptor 1
ENSOARG00000011177,olfactory receptor 4A47-like
ENSOARG00000011178,PRAME family member 8-like
ENSOARG00000011181,LOW QUALITY PROTEIN: MARVEL domain-containing protein 1
ENSOARG00000011184,E3 ubiquitin-protein ligase ZFP91
ENSOARG00000011186,alpha-crystallin A chain
ENSOARG00000011192,"cytochrome c oxidase subunit 7A2, mitochondrial"
ENSOARG00000011194,OR140
ENSOARG00000011198,LOW QUALITY PROTEIN: protein ITFG3
ENSOARG00000011199,autophagy related 5
ENSOARG00000011202,Uncharacterised protein
ENSOARG00000011203,
ENSOARG00000011208,
ENSOARG00000011209,PRAME family member 7-like
ENSOARG00000011210,hypothetical protein M91_10149
ENSOARG00000011213,
ENSOARG00000011215,HIV-1 Tat specific factor 1
ENSOARG00000011227,
ENSOARG00000011228,mucin-7
ENSOARG00000011229,"Chain B, Rabbit 40s Ribosomal Subunit In Complex With Eif1."
ENSOARG00000011235,serine/threonine-protein kinase SIK1
ENSOARG00000011237,
ENSOARG00000011241,free fatty acid receptor 3
ENSOARG00000011247,
ENSOARG00000011250,LOW QUALITY PROTEIN: free fatty acid receptor 2-like
ENSOARG00000011251,trophoblast glycoprotein-like
ENSOARG00000011258,macrophage-expressed gene 1 protein-like
ENSOARG00000011261,
ENSOARG00000011265,collagen alpha-1(XX) chain
ENSOARG00000011275,high mobility group nucleosome binding domain 1
ENSOARG00000011284,
ENSOARG00000011290,"succinate dehydrogenase assembly factor 4, mitochondrial-like"
ENSOARG00000011291,60S ribosomal protein L13-like
ENSOARG00000011292,
ENSOARG00000011294,
ENSOARG00000011304,
ENSOARG00000011310,histone H3.3C
ENSOARG00000011313,CD63 antigen
ENSOARG00000011322,
ENSOARG00000011325,olfactory receptor 4C11-like
ENSOARG00000011332,
ENSOARG00000011334,neurogenic differentiation factor 2
ENSOARG00000011338,LOW QUALITY PROTEIN: PRAME family member 8
ENSOARG00000011339,
ENSOARG00000011341,testis expressed 261
ENSOARG00000011344,
